Sample,BAIT_SET,BAIT_TERRITORY,BAIT_DESIGN_EFFICIENCY,ON_BAIT_BASES,NEAR_BAIT_BASES,OFF_BAIT_BASES,PCT_SELECTED_BASES,PCT_OFF_BAIT,ON_BAIT_VS_SELECTED,MEAN_BAIT_COVERAGE,PCT_USABLE_BASES_ON_BAIT,PCT_USABLE_BASES_ON_TARGET,FOLD_ENRICHMENT,HS_LIBRARY_SIZE,HS_PENALTY_10X,HS_PENALTY_20X,HS_PENALTY_30X,HS_PENALTY_40X,HS_PENALTY_50X,HS_PENALTY_100X,TARGET_TERRITORY,GENOME_SIZE,TOTAL_READS,PF_READS,PF_BASES,PF_UNIQUE_READS,PF_UQ_READS_ALIGNED,PF_BASES_ALIGNED,PF_UQ_BASES_ALIGNED,ON_TARGET_BASES,PCT_PF_READS,PCT_PF_UQ_READS,PCT_PF_UQ_READS_ALIGNED,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,MAX_TARGET_COVERAGE,MIN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_EXC_DUPE,PCT_EXC_ADAPTER,PCT_EXC_MAPQ,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_OFF_TARGET,FOLD_80_BASE_PENALTY,PCT_TARGET_BASES_1X,PCT_TARGET_BASES_2X,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,PCT_TARGET_BASES_40X,PCT_TARGET_BASES_50X,PCT_TARGET_BASES_100X,PCT_TARGET_BASES_250X,PCT_TARGET_BASES_500X,PCT_TARGET_BASES_1000X,PCT_TARGET_BASES_2500X,PCT_TARGET_BASES_5000X,PCT_TARGET_BASES_10000X,PCT_TARGET_BASES_25000X,PCT_TARGET_BASES_50000X,PCT_TARGET_BASES_100000X,AT_DROPOUT,GC_DROPOUT,HET_SNP_SENSITIVITY,HET_SNP_Q,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,interval_bait,123144327,1,19164033123,6000719911,3369550464,0.881912,0.118088,0.761543,155.622541,0.67053,0.158152,16.938463,47738788,5.982239,8.324023,-1,-1,-1,-1,123144327,3105766251,197890478,196077482,28580414992,99110046,99107310,28534303498,14364558329,4520035565,0.990838,0.500833,0.999972,36.705187,37,564,0,0.005696,0.496586,0,0.028373,0.0024,0.206045,0.108235,1.529383,0.992192,0.991413,0.971111,0.881785,0.689707,0.426255,0.188467,0.000304,0.000007,0.000001,0,0,0,0,0,0,0,2.667413,2.639086,0.989476,20,,,
CAP41WGS_MO028,interval_bait,123144327,1,19777678863,6458894577,2539274715,0.911757,0.088243,0.753821,160.605684,0.686151,0.146251,17.33411,41710324,6.03135,9.539686,-1,-1,-1,-1,123144327,3105766251,198350854,196342064,28824089617,87520350,87516839,28775848155,12778766696,4215540792,0.989873,0.44124,0.99996,34.232521,34,547,0,0.004786,0.55592,0,0.025544,0.002283,0.175104,0.094694,1.556024,0.993084,0.991906,0.96105,0.848572,0.634505,0.359605,0.135396,0.000223,0.000004,0.000001,0,0,0,0,0,0,0,1.734961,3.353935,0.988871,20,,,
CAP41WGS_MO029,interval_bait,123144327,1,18239744578,6096054186,4684485349,0.838579,0.161421,0.749503,148.116808,0.62778,0.12674,15.85154,36929417,7.268725,13.783136,-1,-1,-1,-1,123144327,3105766251,199096278,197868654,29054371924,92564334,92561555,29020284113,13520355390,3682362798,0.993834,0.464922,0.99997,29.902821,30,424,0,0.005625,0.534107,0,0.028649,0.002288,0.186036,0.122076,1.495141,0.991951,0.990374,0.955229,0.813482,0.519697,0.206059,0.043379,0.000092,0.000004,0,0,0,0,0,0,0,0,1.674574,3.15184,0.986882,19,,,
CAP41WGS_MO030,interval_bait,123144327,1,19051456531,6192109348,3660839703,0.873347,0.126653,0.754705,154.708357,0.658538,0.188586,16.623348,62953764,5.440266,6.601065,8.987831,-1,-1,-1,123144327,3105766251,198008966,197274838,28929934449,114901060,114896740,28904405582,16794112910,5455776022,0.996292,0.580282,0.999962,44.303917,44,606,0,0.005556,0.418977,0,0.029954,0.002766,0.234714,0.124886,1.527721,0.992307,0.991617,0.975562,0.914169,0.789051,0.601683,0.388935,0.001161,0.000013,0.000001,0,0,0,0,0,0,0,2.190034,2.972709,0.990095,20,,,
CAP41WGS_MO031,interval_bait,123144327,1,19476809674,6374032542,3152371704,0.89131,0.10869,0.75343,158.16246,0.670866,0.145445,16.936593,42153719,6.29687,9.881038,-1,-1,-1,-1,123144327,3105766251,197942044,197032732,29032338287,91172274,91169714,29003213920,13380606556,4222614730,0.995406,0.460601,0.999972,34.289966,34,484,0,0.004831,0.538651,0,0.026853,0.002368,0.183318,0.103261,1.558635,0.992992,0.991781,0.962202,0.852292,0.636575,0.359149,0.134928,0.000271,0.000005,0,0,0,0,0,0,0,0,1.720276,3.158822,0.988862,20,,,
CAP41WGS_MO032,interval_bait,123144327,1,18942295008,6324055868,3818983307,0.868697,0.131303,0.749704,153.821905,0.650734,0.154467,16.425284,46393373,6.112076,8.560144,-1,-1,-1,-1,123144327,3105766251,198097370,197458366,29109139012,99776480,99773015,29085334183,14660962945,4496395000,0.996774,0.503674,0.999965,36.513213,37,367,0,0.004744,0.495933,0,0.028433,0.002575,0.199569,0.118942,1.521384,0.99314,0.992015,0.966153,0.872835,0.685357,0.425895,0.188494,0.000304,0.000003,0,0,0,0,0,0,0,0,1.533866,3.370568,0.989464,20,,,
CAP41WGS_MO033,interval_bait,123144327,1,18840865902,6205132561,4061777957,0.860457,0.139543,0.752251,152.998245,0.646778,0.150311,16.324737,45689364,6.447319,9.347197,-1,-1,-1,-1,123144327,3105766251,199462442,198883776,29130363564,100349288,100346569,29107776420,14630816700,4378602342,0.997099,0.503099,0.999973,35.556671,36,380,0,0.004768,0.497357,0,0.029566,0.002436,0.202001,0.118259,1.545942,0.993108,0.992068,0.965249,0.865701,0.665975,0.397124,0.163727,0.000258,0.000004,0,0,0,0,0,0,0,0,1.535908,3.223237,0.989436,20,,,
CAP41WGS_MO034,interval_bait,123144327,1,19243648977,6098267987,3504923667,0.878499,0.121501,0.75936,156.269066,0.666196,0.174776,16.824553,55257874,5.828697,7.551266,13.104498,-1,-1,-1,123144327,3105766251,198806542,197441972,28885863117,107542504,107539238,28846840631,15662221858,5048556527,0.993136,0.54094,0.99997,40.997069,41,681,0,0.004808,0.457056,0,0.030279,0.002641,0.219194,0.115867,1.57681,0.993182,0.992358,0.97253,0.892115,0.733564,0.522632,0.311014,0.000847,0.000014,0.000001,0,0,0,0,0,0,0,4.115612,1.566048,0.990446,20,,,
CAP41WGS_MO035,interval_bait,123144327,1,18703580081,6172782261,3983286107,0.861977,0.138023,0.751862,151.883408,0.647005,0.144827,16.345118,42603173,6.178528,9.130586,-1,-1,-1,-1,123144327,3105766251,199384728,197438522,28907941951,95846932,95843952,28859648449,13954239254,4186664216,0.990239,0.480714,0.999969,33.998028,34,525,0,0.00469,0.516479,0,0.029542,0.002315,0.191236,0.115403,1.478175,0.993284,0.992423,0.967635,0.856848,0.630665,0.344461,0.122278,0.000215,0.000005,0,0,0,0,0,0,0,0,1.957562,2.589056,0.990064,20,,,
CAP41WGS_MO036,interval_bait,123144327,1,19173965638,6348354227,3080110865,0.892313,0.107687,0.751263,155.703199,0.669233,0.101982,16.906876,27718356,7.829839,-1,-1,-1,-1,-1,123144327,3105766251,197637768,195614278,28650660703,69523624,69519790,28602430730,10108887976,2921851968,0.989762,0.351773,0.999945,23.727053,24,407,0,0.004835,0.646572,0,0.023714,0.001901,0.137246,0.088447,1.482941,0.992804,0.991005,0.933347,0.675775,0.268287,0.043633,0.003275,0.000078,0.000002,0,0,0,0,0,0,0,0,1.408462,3.136061,0.985339,18,,,
CAP41WGS_MO037,interval_bait,123144327,1,19361363487,6292011240,3095754112,0.892318,0.107682,0.75473,157.224973,0.672839,0.168973,16.985002,51850961,5.595298,7.32271,13.962831,-1,-1,-1,123144327,3105766251,197031292,196259640,28775619664,102153012,102150787,28749128839,14919960175,4862291977,0.996084,0.518461,0.999978,39.484498,40,603,0,0.004752,0.481029,0,0.028696,0.002467,0.20802,0.110707,1.518635,0.993203,0.992198,0.969322,0.887642,0.728451,0.503027,0.271251,0.000523,0.000017,0.000001,0,0,0,0,0,0,0,1.809488,3.186856,0.98998,20,,,
CAP41WGS_MO038,interval_bait,123144327,1,19381151052,6296327670,3254591521,0.887509,0.112491,0.754792,157.385659,0.669158,0.14746,16.894853,43299930,6.047569,8.942504,-1,-1,-1,-1,123144327,3105766251,198026268,197030898,28963491787,93144644,93141371,28932070243,13638342157,4270959962,0.994974,0.470365,0.999965,34.682556,35,406,0,0.004699,0.528608,0,0.027407,0.002288,0.189712,0.104408,1.507937,0.993106,0.991963,0.96321,0.85722,0.646598,0.369327,0.143107,0.000236,0.000005,0,0,0,0,0,0,0,0,1.092644,4.154993,0.989146,20,,,
CAP41WGS_MO039,interval_bait,123144327,1,19372440663,6322957509,3244578347,0.887886,0.112114,0.753926,157.314926,0.668746,0.107712,16.882646,29919332,7.548073,-1,-1,-1,-1,-1,123144327,3105766251,198582822,197694142,28968327755,74148386,74144981,28939976519,10806764056,3120222847,0.995525,0.373388,0.999954,25.337934,26,646,0,0.004734,0.62658,0,0.024854,0.001941,0.147746,0.091098,1.490467,0.992797,0.990922,0.936573,0.720583,0.344539,0.076266,0.0072,0.000079,0.000005,0.000001,0,0,0,0,0,0,0,0.993541,3.87796,0.985526,18,,,
CAP41WGS_MO040,interval_bait,123144327,1,18887624603,6342502332,3637168830,0.874004,0.125996,0.748614,153.377951,0.653599,0.109574,16.501583,30210033,7.778317,-1,-1,-1,-1,-1,123144327,3105766251,197712830,196645786,28897892243,76553906,76550805,28867295765,11188794633,3166449829,0.994603,0.387197,0.999959,25.713323,26,369,0,0.005634,0.612406,0,0.024963,0.002108,0.150666,0.100203,1.512548,0.992078,0.990836,0.948791,0.737973,0.351559,0.077548,0.007339,0.000075,0.000002,0,0,0,0,0,0,0,0,1.146199,3.565777,0.986736,19,,,
CAP41WGS_PC,interval_bait,123144327,1,15758689248,3907157868,2200361394,0.899372,0.100628,0.801323,127.969267,0.720001,0.234228,18.176111,74021617,4.455943,5.193821,6.44436,9.478846,-1,-1,123144327,3105766251,167485316,167120896,21887049358,108897614,108894861,21866208510,14100354511,5126567734,0.997824,0.650192,0.999975,41.630564,41,2736,0,0.004656,0.355153,0,0.037258,0.00265,0.269096,0.101445,1.435537,0.993446,0.99305,0.986676,0.933562,0.782018,0.548005,0.301404,0.000477,0.000046,0.000026,0.000017,0.000002,0,0,0,0,0,7.030626,0.040833,0.992533,21,,,
